"full_text","reply_count","retweet_count","favorite_count","url","created_at"
"#ACUARIO: independiente, y mucho, acumulas todo, te cuesta ceder y no te gusta dar todo de golpe, en un primer momento. Ya no.","0","18","134","https://twitter.com/horoscoponegro/status/1527689671114907650","2022-05-20T16:36:15.000Z"
"Signos que son similares pero de elementos diferentes 🔮 https://t.co/WeagAamoxv","10","121","1039","https://twitter.com/horoscoponegro/status/1527656499899670529","2022-05-20T14:24:26.000Z"
"#PISCIS: Si se te cruza el cable tienes una impulsividad que te lleva a hacer locuras por todo, a no pensar dos veces algo, a lanzarte","1","26","164","https://twitter.com/horoscoponegro/status/1527373375877722119","2022-05-19T19:39:24.000Z"
"No vuelvas con tu ex... 🔮 https://t.co/MbZ54dMqzT","9","97","972","https://twitter.com/horoscoponegro/status/1527370579959230464","2022-05-19T19:28:18.000Z"
"Los signos con unas copitas de más 🍸🖤

Parte 2 https://t.co/ZGcSX69MB2","7","72","487","https://twitter.com/horoscoponegro/status/1527333666527281153","2022-05-19T17:01:37.000Z"
"Los signos con unas copitas de más 🍸🖤

Parte 3 https://t.co/UMA3W4wtri","14","76","492","https://twitter.com/horoscoponegro/status/1527333656720597002","2022-05-19T17:01:34.000Z"
"Los signos con unas copitas de más 🍸🖤

Parte 1 https://t.co/AFDn5FBCvh","5","53","418","https://twitter.com/horoscoponegro/status/1527333155924893697","2022-05-19T16:59:35.000Z"
"Completa la frase según tu signo solar, el lunar y el ascendente 🔮 https://t.co/rAN1XbW8Gx","100","140","1541","https://twitter.com/horoscoponegro/status/1527294073576468490","2022-05-19T14:24:17.000Z"
"#ARIES: logras lo que te propones, y eso es porque tienes una inagotable energía. Competitivo al 100%. Debes llegar y ser el primero.","0","29","186","https://twitter.com/horoscoponegro/status/1527276701390196736","2022-05-19T13:15:15.000Z"
"#TAURO: odias que no te comprendan. De hecho, o son rápidos y se enteran o NO repites las cosas dos veces. No gastas tu tiempo con algun@s.","0","33","219","https://twitter.com/horoscoponegro/status/1527010485127811079","2022-05-18T19:37:24.000Z"
"🔮🔮🔮🔮 https://t.co/mrT6VnFmWC","6","196","1251","https://twitter.com/horoscoponegro/status/1527008186066247682","2022-05-18T19:28:16.000Z"
"La pareja perfecta de los signos del Zodiaco 👩‍❤️‍👨🔮

Parte 3 https://t.co/aDPny7Vy7n","14","217","2087","https://twitter.com/horoscoponegro/status/1526968979197132806","2022-05-18T16:52:29.000Z"
"La pareja perfecta de los signos del Zodiaco 👩‍❤️‍👨🔮

Parte 2 https://t.co/i9ZLoLi46p","18","243","2184","https://twitter.com/horoscoponegro/status/1526968940748054531","2022-05-18T16:52:19.000Z"
"La pareja perfecta de los signos del Zodiaco 👩‍❤️‍👨🔮

Parte 1 https://t.co/p8KyswPw45","5","144","1121","https://twitter.com/horoscoponegro/status/1526968730139381760","2022-05-18T16:51:29.000Z"
"#GÉMINIS: a ti eso de intentarlo una sola vez NO. Lo intentas dos, tres, cuatro y todas las veces que sean necesarias para conseguirlo.","2","55","276","https://twitter.com/horoscoponegro/status/1526964896088440834","2022-05-18T16:36:15.000Z"
"El signo que saca lo mejor de ti 🔮 https://t.co/6ihT7sAQPC","92","158","1472","https://twitter.com/horoscoponegro/status/1526931430906990592","2022-05-18T14:23:16.000Z"
"#CÁNCER: te cuesta sacar lo que tienes dentro, te escondes tras tu caparazón hasta que ves claro todo. No arriesgas demasiado. Lo sabes.","2","50","291","https://twitter.com/horoscoponegro/status/1526648559298301952","2022-05-17T19:39:14.000Z"
"Los signos con su crush 🔮 https://t.co/kMhWK8AKDn","16","105","1579","https://twitter.com/horoscoponegro/status/1526645546215170052","2022-05-17T19:27:16.000Z"
"¿Qué canción de 'Un verano sin ti' de @sanbenito eres según tu signo? ☀️🍹🔮

Parte 2 https://t.co/XrXPJjyoLT","87","1361","6686","https://twitter.com/horoscoponegro/status/1526605545721016321","2022-05-17T16:48:19.000Z"
"¿Qué canción de 'Un verano sin ti' de @sanbenito  eres según tu signo? ☀️🍹🔮

Parte 3 https://t.co/JCVFtCHuBK","44","756","3202","https://twitter.com/horoscoponegro/status/1526605545536372736","2022-05-17T16:48:19.000Z"
"¿Qué canción de 'Un verano sin ti' de @sanbenito eres según tu signo? ☀️🍹🔮

Parte 1 https://t.co/caom8AqZ0w","65","1355","7918","https://twitter.com/horoscoponegro/status/1526605293265768449","2022-05-17T16:47:19.000Z"
"El lado que nadie conoce de los signos 🔮 https://t.co/nadjqOAskp","20","170","1910","https://twitter.com/horoscoponegro/status/1526569048384974854","2022-05-17T14:23:18.000Z"
"#LEO: protector, defensor y guardian de los tuyos. Un Leo siempre gana. Tarde o temprano. Lo sabes.","2","57","246","https://twitter.com/horoscoponegro/status/1526551958387150849","2022-05-17T13:15:23.000Z"
"#VIRGO: eres prudente, aunque a veces tu rabia se desborde.Sueles medir tus palabras. No dices más de lo que debes.Conoces bien a los falsos","0","44","203","https://twitter.com/horoscoponegro/status/1526285668372164608","2022-05-16T19:37:15.000Z"
"Los signos que siempre hablan de ellos mismos 🔮 https://t.co/f1QnzR4ac8","14","43","629","https://twitter.com/horoscoponegro/status/1526283158186086400","2022-05-16T19:27:16.000Z"
"Ronda de memes de los signos 🔮✨😌 Parte 3 https://t.co/rWaRLIIVWJ","2","53","346","https://twitter.com/horoscoponegro/status/1526269577910419458","2022-05-16T18:33:18.000Z"
"Ronda de memes de los signos 🔮✨😌 Parte 2 https://t.co/at8Q7j24k9","5","44","378","https://twitter.com/horoscoponegro/status/1526269325690249216","2022-05-16T18:32:18.000Z"
