"full_text","reply_count","retweet_count","favorite_count","url","created_at"
"Alejandra #Pizarnik https://t.co/110oULcBOg","3","61","322","https://twitter.com/literlandweb1/status/1529192648724070401","2022-05-24T20:08:33.000Z"
"""A veces siento como si estuviera completamente solo en el mundo. Otras veces sé que es así"".
Charles Bukowski https://t.co/awBHxc9II6","25","1222","5459","https://twitter.com/literlandweb1/status/1529158112002953217","2022-05-24T17:51:18.000Z"
"""Cuando rechazamos el relato único, cuando comprendemos que nunca existe una única historia sobre ningún lugar, recuperamos una especie de paraíso"".
“El peligro de la historia única"", Chimamanda Ngozi Adichie
📷Ralph Gibson https://t.co/WjL6JHYBQ5","5","86","395","https://twitter.com/literlandweb1/status/1529157634787618818","2022-05-24T17:49:25.000Z"
"""Llevo tu corazón conmigo [lo llevo en mi corazón] nunca estoy sin él"".
E. E. Cummings https://t.co/8r7KaC3qfH","9","326","1506","https://twitter.com/literlandweb1/status/1529156359190679552","2022-05-24T17:44:21.000Z"
"""Las distancias más profundas nunca son geográficas"".
John Fowles
📷Alex Coghe https://t.co/cI8iI3GSxr","7","317","1573","https://twitter.com/literlandweb1/status/1529130889288077312","2022-05-24T16:03:08.000Z"
"""Si pudiera inventarse algo para embotellar los recuerdos, como los perfumes. Para que no se disipasen, para que nunca pudieran ponerse rancios"".
Daphne du Maurier
📷Andre Kertész https://t.co/2XkT45A5jC","8","77","415","https://twitter.com/literlandweb1/status/1529129913869008896","2022-05-24T15:59:15.000Z"
"""La vida está hecha para comenzar de nuevo"".
Hannah Arendt. https://t.co/a2E4EZMa4W","17","1182","4828","https://twitter.com/literlandweb1/status/1529107147895853060","2022-05-24T14:28:48.000Z"
"""Yo prefiero olvidarlas porque olvidar a la gente que solo se conoció en palabras es extraño, mientras existieron fueron más intensas que lo real y ahora son más distantes que los desconocidos"".
""Las cosas que perdimos en el fuego"", Mariana Enríquez
📷Artur Pastor https://t.co/IClYKkFU15","1","63","327","https://twitter.com/literlandweb1/status/1529105789398306818","2022-05-24T14:23:24.000Z"
"""¿Qué forma de proverbio prefieres: mejor tarde que nunca, o mejor nunca que tarde?"" 
""Alicia en el pais de las maravillas"", Lewis Carroll https://t.co/d4amnr462x","19","137","633","https://twitter.com/literlandweb1/status/1529105224228474880","2022-05-24T14:21:09.000Z"
"“Esa mañana salí temprano. Mojé mis cabellos en el mar y me puse flores nuevas.” 
María Calcaño 
📷Edouard Boubat https://t.co/bCU6L1IC2L","1","103","496","https://twitter.com/literlandweb1/status/1529065530199375872","2022-05-24T11:43:25.000Z"
"""Nada está perdido si se tiene el valor de proclamar que todo está perdido y hay que empezar de nuevo"". 
Julio Cortázar https://t.co/N3nhcxncXX","21","1095","4581","https://twitter.com/literlandweb1/status/1529047092378775552","2022-05-24T10:30:09.000Z"
"""La libertad no consiste sólo en seguir la propia voluntad, sino también a veces en huir de ella"".
Kōbō Abe https://t.co/VVZBJYwBzu","5","260","1177","https://twitter.com/literlandweb1/status/1528997916718792704","2022-05-24T07:14:45.000Z"
"""Recuerda que eres tan bueno como lo mejor que hayas hecho en tu vida"".
Billy Wilder https://t.co/thg6igF7fL","2","57","334","https://twitter.com/literlandweb1/status/1528996359075991552","2022-05-24T07:08:34.000Z"
"""Solitario, sigues el camino que te lleva hacia ti mismo"".
""Así habló Zaratustra"", Friedrich Nietzsche
📷János Szász https://t.co/C2V8bJMiBC","9","301","1461","https://twitter.com/literlandweb1/status/1528920832969416704","2022-05-24T02:08:27.000Z"
"https://t.co/Ko7vvAmeqb","12","191","1310","https://twitter.com/literlandweb1/status/1528900139909267457","2022-05-24T00:46:13.000Z"
"""El perdón, a menudo, es considerado una emoción. No lo es. Es más bien que una emoción cesa"".
Iris Murdoch https://t.co/ijFcvbGkG9","6","223","1182","https://twitter.com/literlandweb1/status/1528885812342816768","2022-05-23T23:49:17.000Z"
"Pedro Salinas https://t.co/gP2w75aPmg","15","596","2849","https://twitter.com/literlandweb1/status/1528855894997577729","2022-05-23T21:50:24.000Z"
"""Cada uno está en el lugar en el que se ha colocado a sí mismo"".
Juan José Millas
🎬""The mirror"", Andrei Tarkovsky (1975) https://t.co/60KBZAr4Lz","7","234","977","https://twitter.com/literlandweb1/status/1528855426695045121","2022-05-23T21:48:33.000Z"
"""La ciencia del corazón todavía no ha nacido, cada uno la inventa como quiere"".
Eugenio Montale
📷Len Howard https://t.co/M2ZoEHRYfO","2","137","525","https://twitter.com/literlandweb1/status/1528829005033615361","2022-05-23T20:03:33.000Z"
"""¿Hasta qué punto es responsable de sus actos una persona abandonada, sin recursos ni capacidad específica, enloquecida por los malos tratos, la indiferencia y la imposibilidad de alimentar a los suyos?""
Carlos Monsivais
📷Izis Bidermanas https://t.co/UmsT1w4h1d","12","145","619","https://twitter.com/literlandweb1/status/1528795079648870400","2022-05-23T17:48:45.000Z"
"""Nadie acepta ya que las cosas pasan a veces sin que haya un culpable, o que existe la mala suerte, o que las personas se tuercen y se echan a perder y se buscan ellas solas la desdicha o la ruina"".
Javier Marías
📷Tish Murtha https://t.co/paBJTOq2AI","4","101","409","https://twitter.com/literlandweb1/status/1528793807923433472","2022-05-23T17:43:42.000Z"
"""Recuerdo que siempre sentía que iba a hacer algo grande. Es lo mejor que puede pasarle a un niño. Intentas hacer todo tipo de cosas. No dices nunca: ""Es imposible, no puedo hacerlo, no estoy hecho para esto"".
Tom Wolfe
📷Jacqueline Roberts https://t.co/Kb0fzkrOKk","4","91","357","https://twitter.com/literlandweb1/status/1528792913471324162","2022-05-23T17:40:08.000Z"
"""Te me apareciste como un último salvavidas lanzado en medio de una vida que a partir de entonces estaba vacía. Me agarré a él con todas mis fuerzas y voluntariamente cerré los ojos a todo lo que podía poner en peligro esta última esperanza"".
María Casares a Albert Camus https://t.co/wI8B6Sp6oz","6","327","1529","https://twitter.com/literlandweb1/status/1528762401608413184","2022-05-23T15:38:54.000Z"
"""Toda sombra es, al fin y al cabo, hija de la luz y solo quien ha conocido la claridad y las tinieblas, la guerra y la paz, el ascenso y la caída, solo este ha vivido de verdad”. 
Stefan Zweig
📷La bonhomía de Stefan Zweig. El mundo de ayer https://t.co/xQY7E9okJD","2","64","283","https://twitter.com/literlandweb1/status/1528762046606712840","2022-05-23T15:37:29.000Z"
"¿Qué pie de foto te sugiere esta imagen? https://t.co/EBXSJ1PATZ","1230","412","3931","https://twitter.com/literlandweb1/status/1528753376518983680","2022-05-23T15:03:02.000Z"
"""Para empezar, ¿qué es un monstruo?
Ya la etimología nos reserva una sorpresa un tanto pavorosa: monstruo viene de mostrar"".
Michel Tournier https://t.co/iqdcE8KH7I","9","339","1426","https://twitter.com/literlandweb1/status/1528750861228417025","2022-05-23T14:53:02.000Z"
"""Cuando era niña, cuando era adolescente, los libros me salvaron de la desesperación: eso me convenció de que la cultura era el valor más alto"".
Simone de Beauvoir
📷Robert Doisneau: Simone de Beauvoir en Deux magots (1944) https://t.co/xnokzLr0P7","6","271","1175","https://twitter.com/literlandweb1/status/1528750305332051969","2022-05-23T14:50:50.000Z"
"""Recordé que el mundo real era grande, y que un diverso campo de esperanzas y miedos, de sensaciones y emociones,esperaban a aquellos que tenían el valor de lanzarse a su vastedad,de buscar el verdadero conocimiento de la vida entre sus peligros"".
Charlotte Brontë 
📷Sara Puhto https://t.co/ZOFkFmnYmE","2","43","236","https://twitter.com/literlandweb1/status/1528749605978095624","2022-05-23T14:48:03.000Z"
"“Las mejores personas poseen sensibilidad para la belleza, valor para enfrentar riesgos, disciplina para decir la verdad, capacidad para sacrificarse. Irónicamente, estas virtudes los hacen vulnerables; frecuentemente se les lastima, a veces se les destruye.”
Ernest Hemingway https://t.co/tMePKkwGtV","41","2682","8615","https://twitter.com/literlandweb1/status/1528702515801378818","2022-05-23T11:40:56.000Z"
"""Quizá tienen razón los días laborables"".
Jaime Gil de Biedma https://t.co/Gphdh5brlP","2","105","711","https://twitter.com/literlandweb1/status/1528683946485112832","2022-05-23T10:27:09.000Z"
"""Adiós quiere decir ya no mirarse 
nunca, 
vivir entre otras gentes, 
reírse de otras cosas, 
morirse de otras penas"".
Manuel Scorza https://t.co/WIBbhvebPP","28","1136","4895","https://twitter.com/literlandweb1/status/1528637023103471616","2022-05-23T07:20:41.000Z"
"""Si tienes un corazón de hierro, buen provecho. El mío lo hicieron de carne y sangra todos los días"".
José Saramago
📷Pedro Luis Raota https://t.co/tskxRHwKnR","13","939","4065","https://twitter.com/literlandweb1/status/1528532587806957569","2022-05-23T00:25:42.000Z"
"Fachada de la biblioteca de Kansas City. https://t.co/6B6tqMpChz","12","257","2185","https://twitter.com/literlandweb1/status/1528528793975107585","2022-05-23T00:10:37.000Z"
"""Siempre hay que reír. La risa es un filtro contra la adversidad"". 
Rafael Pérez Gay
📷 Nina Leen, Anne Bancroft https://t.co/didXlqKo0z","13","699","2762","https://twitter.com/literlandweb1/status/1528494501580443649","2022-05-22T21:54:21.000Z"
"https://t.co/WRTYtJWDzS","4","197","1136","https://twitter.com/literlandweb1/status/1528454273398366209","2022-05-22T19:14:30.000Z"
"” Los cielos te llaman, y giran en tu derredor mostrando sus esplendores eternos"".
""La divina comedia"", Dante Alighieri https://t.co/EhobKbIcer","5","216","900","https://twitter.com/literlandweb1/status/1528453138247737344","2022-05-22T19:10:00.000Z"
"""Algo me enseñó que hay que ser un poco egoísta con la gente, hay que aprender a no contar a cualquier común nuestros sueños, vicios, ni obsesiones, pensar muy bien antes de regalar una palabra o una nube y sobre todo cuidar las sonrisas sinceras"".
Andrés Caicedo https://t.co/OMJOMSnNK7","30","883","3313","https://twitter.com/literlandweb1/status/1528442482899488768","2022-05-22T18:27:39.000Z"
"""Que la vida puede durar un cruce de miradas
en medio de una tormenta.
Y os aseguro que eso es un regalo,
eso es más que suficiente”.
Elvira Sastre
📷 Lupe de la Vallina https://t.co/1wvU4nglql","2","133","664","https://twitter.com/literlandweb1/status/1528409327589007361","2022-05-22T16:15:54.000Z"
"""Debes vivir la vida con el convencimiento de que tus actos permanecerán. Somos criaturas que dejamos huella"".
Zadie Smith
📷Flor Garduño https://t.co/vpkChIecC7","5","188","762","https://twitter.com/literlandweb1/status/1528408277557694470","2022-05-22T16:11:44.000Z"
"""Si tuviera que quedarme con una sola cosa sería la literatura"".
Patti Smith https://t.co/2ZCUnrEHOj","14","265","1576","https://twitter.com/literlandweb1/status/1528407579369562113","2022-05-22T16:08:58.000Z"
"""Usted ve, pero no observa. La distinción es clara"".
Arthur Conan Doyle
📷Rodney Smith https://t.co/1QTb8ugJv5","7","274","1108","https://twitter.com/literlandweb1/status/1528406583348174848","2022-05-22T16:05:00.000Z"
"""Los miserables"", Victor Hugo https://t.co/mxj0zdySZl","2","249","868","https://twitter.com/literlandweb1/status/1528406177977028609","2022-05-22T16:03:23.000Z"
"""¿Por qué nuestras culpas nos envilecen tanto?""
""La divina comedia"", Dante Alighieri
📷Édouard Boubat https://t.co/K9B1GujP7z","3","65","407","https://twitter.com/literlandweb1/status/1528342070733197312","2022-05-22T11:48:39.000Z"
"""Cambia de opinión, mantén tus principios; cambia tus hojas, mantén intactas tus raíces"".
Víctor Hugo https://t.co/zXvUnKS9to","12","1559","6097","https://twitter.com/literlandweb1/status/1528341638661152773","2022-05-22T11:46:56.000Z"
"""No podemos gobernar nuestro corazón, pero sí nuestras acciones"". 
""Las aventuras de Sherlock Holmes"", Arthur Conan Doyle
📷Shoji Ueda https://t.co/q3qpYJJrnu","6","217","1024","https://twitter.com/literlandweb1/status/1528340754103427072","2022-05-22T11:43:25.000Z"
"Eduardo Galeano https://t.co/SsY30QtHNd","32","1587","6478","https://twitter.com/literlandweb1/status/1528318479773859846","2022-05-22T10:14:55.000Z"
"Eduardo Galeano https://t.co/YnkYah9OaD","14","688","2682","https://twitter.com/literlandweb1/status/1528202801913942016","2022-05-22T02:35:15.000Z"
"Polvo en el viento https://t.co/paruS8BYmP","16","274","1475","https://twitter.com/literlandweb1/status/1528197911594553346","2022-05-22T02:15:49.000Z"
"""Quiero saber lo que es la pasión... Quiero sentir algo con fuerza"".
""Un mundo feliz"", Aldous Huxley 
📷Cecil Beaton https://t.co/3h0uT0ptwS","1","107","559","https://twitter.com/literlandweb1/status/1528167300922236930","2022-05-22T00:14:11.000Z"
"“La libertad significa responsabilidad; por eso, la mayoría de los hombres le tiene tanto miedo"".
George Bernard Shaw
📷 Sebastião Salgado https://t.co/ByHXSpSg3l","16","468","1964","https://twitter.com/literlandweb1/status/1528136450067292160","2022-05-21T22:11:35.000Z"
"""Los reencuentros son un fenómeno tan complejo que sólo deberían producirse tras un largo aprendizaje o simplemente prohibirse"".
""La nostalgia feliz"", Amélie Nothomb https://t.co/Miel42SsyL","14","496","2196","https://twitter.com/literlandweb1/status/1528090017972862976","2022-05-21T19:07:05.000Z"
"""Se trata de seguir adelante. Y si sigues adelante el tiempo suficiente, supongo que al final es como empezar de nuevo"". John Katzenbach
📷Fernando Taborda https://t.co/nPec7ufW4b","4","199","883","https://twitter.com/literlandweb1/status/1528089524273676288","2022-05-21T19:05:07.000Z"
"""La única noche, dijo alguien, es la del desvelo, la noche pasada en blanco. No se guarda memoria de las noches dormidas. Así el amor: el más inolvidable es el que nunca fue"".
""Tratado de culinaria para mujeres tristes"", Héctor Abad Faciolince https://t.co/j5kO4fe7dt","2","95","419","https://twitter.com/literlandweb1/status/1528081543394213890","2022-05-21T18:33:24.000Z"
"Aquel duelo inolvidable entre Francisco Umbral y Joaquín Sabina. https://t.co/ygR0DcR6pd","3","31","225","https://twitter.com/literlandweb1/status/1528072374645669890","2022-05-21T17:56:58.000Z"
"""Sonreír con la alegre tristeza del 
olivo. Esperar. 
No cansarse de esperar la alegría. 
Sonriamos"".
Miguel Hernández https://t.co/ZVmsoQzE8K","7","413","1670","https://twitter.com/literlandweb1/status/1528069903772704771","2022-05-21T17:47:09.000Z"
"""Bueno, para quienes confían, la espera siempre es efímera, aun cuando dure cincuenta, cien años"".
Kobo Abe
📷Vanu Wolowich https://t.co/gkxck8j7Ii","3","96","472","https://twitter.com/literlandweb1/status/1528068512081530880","2022-05-21T17:41:38.000Z"
